,T2m,TSKIN,SUBLIM,QH,QL,SW_d,LW_d,RAIN,BDOT,ALBEDO,SMELT
1980-05-03,255.07513,253.90306,-0.031636562,10.871676,1.0277301,220.28465,188.11794,0.0,1.0034983,0.80179477,0.0
1980-05-04,248.50362,247.5127,-0.005929833,8.03082,0.19232988,266.0237,144.98581,0.0,0.087697215,0.78860897,0.0
1980-05-05,249.25304,248.58324,0.029205741,4.3546453,-0.9463683,213.86266,183.08711,0.0,0.7111562,0.8000722,0.0
1980-05-06,246.79485,246.0299,0.005213786,3.050576,-0.16732495,279.90134,139.65567,0.0,0.15918568,0.78824234,0.0
1980-05-07,244.24255,241.31824,0.0038942616,8.131229,-0.12504919,281.66934,129.9102,0.0,0.039428316,0.7865776,0.0
1980-05-08,249.20045,247.03673,0.005531077,2.5078008,-0.18117046,251.63472,171.1476,0.0,0.39494872,0.79572743,0.0
1980-05-09,250.49855,249.52882,0.05695642,-1.7751125,-1.8462044,248.30745,177.36806,0.0,0.6952691,0.7994717,0.0
1980-05-10,244.54889,242.72462,-0.010792466,10.959492,0.34982052,302.95316,117.74952,0.0,0.016705686,0.78512543,0.0
1980-05-11,249.16225,248.12483,0.03106512,2.6273296,-1.0067514,214.21593,193.68684,0.0,1.5804992,0.8104084,0.0
1980-05-12,255.44618,254.53249,-0.032588936,8.127711,1.056825,263.4011,190.84645,0.0,0.76848423,0.80169755,0.0
1980-05-13,253.882,252.48155,-0.016389338,4.294765,0.5308325,297.3163,170.08028,0.0,0.1856935,0.79251313,0.0
1980-05-14,253.7608,250.92567,0.017686136,5.372543,-0.573256,296.6548,168.90175,0.0,0.06548841,0.7936416,0.0
1980-05-15,256.4058,255.63652,0.040297184,0.25155798,-1.3063569,235.75798,213.85266,0.0,1.7451026,0.81185466,0.0
1980-05-16,256.255,256.327,0.08483314,-1.5344305,-2.7499368,233.21468,214.8686,0.0,1.5283668,0.81592304,0.0
1980-05-17,254.76953,253.97565,-0.0020153173,3.5259087,0.06657449,306.04654,170.32927,0.0,0.30713996,0.7977314,0.0
1980-05-18,254.6814,253.79155,0.047740392,3.679539,-1.5467602,252.04932,202.28111,0.0,2.3044555,0.8112361,0.0
1980-05-19,258.35257,258.15982,0.05277999,2.3434758,-1.7084078,262.5756,212.60255,0.0,2.6992397,0.82156223,0.0
1980-05-20,253.13965,253.30214,0.039376713,-0.9044237,-1.2750134,285.5394,183.09393,0.0,1.0692962,0.807952,0.0
1980-05-21,261.4153,260.40372,-0.13853435,15.589587,4.492276,293.7964,199.17912,0.0,1.1434864,0.80501175,0.0
1980-05-22,263.86212,262.7516,-0.116634525,13.889152,3.7851455,284.8851,212.80237,0.0,1.3936028,0.8094445,0.0
1980-05-23,261.63785,260.65433,-0.050851278,6.5741196,1.6496253,300.90005,206.16231,0.0,0.79777193,0.80608946,0.0
1980-05-24,257.93918,258.18726,0.14906688,-5.573526,-4.8319125,296.8672,200.27959,0.0,0.8748025,0.8101538,0.0
1980-05-25,250.39423,250.22054,0.03424843,0.05723858,-1.1127383,346.5192,144.26616,0.0,0.14759833,0.7927441,0.0
1980-05-26,250.09502,249.2053,0.034520846,-0.3944455,-1.1175715,336.85938,159.96695,0.0,0.19451953,0.79533666,0.0
1980-05-27,259.37204,258.7834,-0.016703434,4.151858,0.5432982,313.4857,204.82637,0.0,1.2992231,0.81027895,0.0
1980-05-28,260.41367,259.8852,0.006602183,3.5610533,-0.20953345,284.5521,213.5307,0.0,1.4771347,0.81084824,0.0
1980-05-29,258.1135,257.8607,0.13294452,1.7483801,-4.3072515,314.67642,198.16536,0.0,0.40808773,0.80586433,0.0
1980-05-30,258.18356,257.90506,0.022106301,1.7483177,-0.71637183,325.4769,192.19804,0.0,0.5146396,0.8045459,0.0
1980-05-31,258.65,258.30832,0.07076272,1.0196499,-2.29127,304.6146,203.8598,0.0,0.57451755,0.80579925,0.0
1980-06-01,259.7656,258.6213,0.15069431,10.030496,-4.8828273,341.5651,188.76018,0.0,0.118919924,0.8013582,0.0
1980-06-02,260.2006,260.11642,0.11883803,0.9456503,-3.854107,253.5384,226.62811,0.0,1.9536508,0.82306594,0.0
1980-06-03,257.27225,256.21884,0.0885561,-0.86641186,-2.867588,344.5293,178.88806,0.0,0.27762255,0.8007889,0.0
1980-06-04,257.12122,256.8295,0.09977308,-2.5135489,-3.2332032,306.1836,198.92096,0.0,1.522454,0.8127289,0.0
1980-06-05,251.36761,250.77882,0.030663926,-0.8600996,-0.9923994,374.82422,141.45749,0.0,0.076395,0.79238814,0.0
1980-06-06,250.2633,249.41919,0.043812353,-3.311807,-1.420173,360.92838,154.17783,0.0,0.13216977,0.79515195,0.0
1980-06-07,253.00896,252.48274,0.0853466,-2.4766629,-2.7635982,348.33334,174.95363,0.0,0.38101128,0.8008046,0.0
1980-06-08,259.656,259.3793,0.046523634,4.3493233,-1.5093147,301.24936,213.85698,0.0,1.7128574,0.8174642,0.0
1980-06-09,261.99393,261.68774,0.056888707,4.641985,-1.8434224,328.94858,211.17958,0.0,0.91201293,0.8102918,0.0
1980-06-10,260.45673,259.62595,0.061826326,8.4884405,-2.0009668,366.85352,182.3642,0.0,0.13147,0.7993307,0.0
1980-06-11,260.00143,259.1205,0.08791757,9.731393,-2.8480885,351.09116,187.90399,0.0,0.26154706,0.7995572,0.0
1980-06-12,261.28894,260.77396,0.093045644,3.0959864,-3.0113528,319.03842,214.29199,0.0,1.3984511,0.8120785,0.0
1980-06-13,263.25705,263.11496,0.038075935,2.9536707,-1.2342166,285.09375,228.32158,0.0,2.8794997,0.8224531,0.0
1980-06-14,261.2294,261.26736,0.13722555,-1.6333137,-4.4500957,290.4769,222.45497,0.0,3.7434359,0.8240116,0.0
1980-06-15,258.8994,258.5602,0.10507623,-0.87216663,-3.4066734,345.34506,195.49237,0.0,0.26597893,0.80449563,0.0
1980-06-16,259.5098,258.15884,0.06677698,-0.060222548,-2.1619308,365.35287,186.50536,0.0,0.15074067,0.8020913,0.0
1980-06-17,259.86478,259.2955,0.10337991,3.4539292,-3.3474026,366.7689,188.24934,0.0,0.09338876,0.80405027,0.0
1980-06-18,260.14725,258.8149,0.051836565,6.946902,-1.6777439,372.83072,181.44536,0.0,0.035402067,0.80031425,0.0
1980-06-19,261.8748,261.11252,0.043357987,2.4865432,-1.4031788,337.02475,208.53828,0.0,0.57637453,0.80828613,0.0
1980-06-20,262.9029,262.02972,0.025346922,3.0252113,-0.82211894,344.8086,208.53224,0.0,0.7414433,0.8072703,0.0
1980-06-21,263.6945,262.86426,0.046499826,1.4008851,-1.5065032,354.5039,208.27599,0.0,0.48502362,0.80451006,0.0
1980-06-22,262.9307,261.11667,0.025828838,0.89453226,-0.83298326,378.35416,190.78499,0.0,0.16013798,0.7987477,0.0
1980-06-23,259.98917,258.79187,0.016716661,2.485396,-0.542032,382.53775,176.68396,0.0,0.083388425,0.7954438,0.0
1980-06-24,258.3431,256.59186,0.024734963,-0.13432823,-0.8012178,383.29037,169.34126,0.0,0.109984085,0.7945616,0.0
1980-06-25,258.16992,255.73224,0.02276564,0.57204646,-0.73736995,385.38803,165.88953,0.0,0.085719496,0.79355866,0.0
1980-06-26,257.75693,255.08728,0.007262916,4.638227,-0.23446329,372.27344,167.8514,0.0,0.27344975,0.79669905,0.0
1980-06-27,261.3294,261.26584,0.059636444,0.31535044,-1.9324154,332.09634,211.01526,0.0,0.88098407,0.81092006,0.0
1980-06-28,261.26465,260.40598,0.099548675,0.98154706,-3.2267869,363.00586,197.41772,0.0,0.09380559,0.7995911,0.0
