year	concentration	uncert
1867.46	288.819	4.145
1867.54	283.361	4.207
1867.63	278.635	4.188
1867.71	279.138	4.159
1867.79	283.351	4.164
1867.88	287.499	4.159
1867.96	289.803	4.189
1868.04	289.931	4.216
1868.13	290.805	4.170
1868.21	291.427	4.167
1868.29	291.556	4.149
1868.38	291.374	4.147
1868.46	288.919	4.145
1868.54	283.461	4.207
1868.63	278.735	4.188
1868.71	279.238	4.159
1868.79	283.451	4.164
1868.88	287.599	4.159
1868.96	289.903	4.189
1869.04	290.131	4.216
1869.13	291.005	4.170
1869.21	291.627	4.167
1869.29	291.756	4.149
1869.38	291.574	4.147
1869.46	289.119	4.145
1869.54	283.661	4.207
1869.63	278.935	4.188
1869.71	279.438	4.159
1869.79	283.651	4.164
1869.88	287.799	4.159
1869.96	290.103	4.189
1870.04	290.231	4.216
1870.13	291.105	4.170
1870.21	291.727	4.167
1870.29	291.856	4.149
1870.38	291.674	4.147
1870.46	289.219	4.145
1870.54	283.761	4.207
1870.63	279.035	4.188
1870.71	279.538	4.159
1870.79	283.751	4.164
1870.88	287.899	4.159
1870.96	290.203	4.189
1871.04	290.431	4.216
1871.13	291.305	4.170
1871.21	291.927	4.167
1871.29	292.056	4.149
1871.38	291.874	4.147
1871.46	289.419	4.145
1871.54	283.961	4.207
1871.63	279.235	4.188
1871.71	279.738	4.159
1871.79	283.951	4.164
1871.88	288.099	4.159
1871.96	290.403	4.189
1872.04	290.631	4.216
1872.13	291.505	4.170
1872.21	292.127	4.167
1872.29	292.256	4.149
1872.38	292.074	4.147
1872.46	289.619	4.145
1872.54	284.161	4.207
1872.63	279.435	4.188
1872.71	279.938	4.159
1872.79	284.151	4.164
1872.88	288.299	4.159
1872.96	290.603	4.189
1873.04	290.831	4.216
1873.13	291.705	4.170
1873.21	292.327	4.167
1873.29	292.456	4.149
1873.38	292.274	4.147
1873.46	289.819	4.145
1873.54	284.361	4.207
1873.63	279.635	4.188
1873.71	280.138	4.159
1873.79	284.351	4.164
1873.88	288.499	4.159
1873.96	290.803	4.189
1874.04	291.131	4.216
1874.13	292.005	4.170
1874.21	292.627	4.167
1874.29	292.756	4.149
1874.38	292.574	4.147
1874.46	290.119	4.145
1874.54	284.661	4.207
1874.63	279.935	4.188
1874.71	280.438	4.159
1874.79	284.651	4.164
1874.88	288.799	4.159
1874.96	291.103	4.189
1875.04	291.431	4.216
1875.13	292.305	4.170
1875.21	292.927	4.167
1875.29	293.056	4.149
1875.38	292.874	4.147
1875.46	290.419	4.145
1875.54	284.961	4.207
1875.63	280.235	4.188
1875.71	280.738	4.159
1875.79	284.951	4.164
1875.88	289.099	4.159
1875.96	291.403	4.189
1876.04	291.731	4.216
1876.13	292.605	4.170
1876.21	293.227	4.167
1876.29	293.356	4.149
1876.38	293.174	4.147
1876.46	290.719	4.145
1876.54	285.261	4.207
1876.63	280.535	4.188
1876.71	281.038	4.159
1876.79	285.251	4.164
1876.88	289.399	4.159
1876.96	291.703	4.189
1877.04	292.131	4.216
1877.13	293.005	4.170
1877.21	293.627	4.167
1877.29	293.756	4.149
1877.38	293.574	4.147
1877.46	291.119	4.145
1877.54	285.661	4.207
1877.63	280.935	4.188
1877.71	281.438	4.159
1877.79	285.651	4.164
1877.88	289.799	4.159
1877.96	292.103	4.189
1878.04	292.531	4.216
1878.13	293.405	4.170
1878.21	294.027	4.167
1878.29	294.156	4.149
1878.38	293.974	4.147
1878.46	291.519	4.145
1878.54	286.061	4.207
1878.63	281.335	4.188
1878.71	281.838	4.159
1878.79	286.051	4.164
1878.88	290.199	4.159
1878.96	292.503	4.189
1879.04	292.931	4.216
1879.13	293.805	4.170
1879.21	294.427	4.167
1879.29	294.556	4.149
